repo_key,repo_name,category,origin_url,stars,forks,archived,license,last_commit_at,days_since_last_commit,stale_bucket,findings_total,native_findings,collection_scale_findings,cluster_issue_instances,multi_signal_issue_instances,cross_tool_issue_instances,instruction_surface_files,skill_files,plugin_manifest_files,mcp_manifest_files,surface_diversity,has_skill_md,top_canonical_class,top_canonical_class_count
category4_surface_mentions/galkahana__PDF-Writer,galkahana__PDF-Writer,category4_surface_mentions,https://github.com/galkahana/PDF-Writer.git,1000,231,False,Apache-2.0,2026-04-17T14:37:37+03:00,9,0-30d,0,0,0,0,0,0,1,0,0,0,1,False,,
category4_surface_mentions/garrytan__gbrain,garrytan__gbrain,category4_surface_mentions,https://github.com/garrytan/gbrain.git,11700,1400,False,MIT,2026-04-20T23:14:38+08:00,6,0-30d,11,0,1,10,1,0,30,29,0,0,2,True,agent_role_or_goal_manipulation,3
category4_surface_mentions/garrytan__gstack,garrytan__gstack,category4_surface_mentions,https://github.com/garrytan/gstack.git,84700,12400,False,MIT,2026-04-20T22:32:58+08:00,6,0-30d,24,0,5,21,3,0,47,45,0,0,2,True,agent_role_or_goal_manipulation,4
category4_surface_mentions/gastownhall__beads,gastownhall__beads,category4_surface_mentions,https://github.com/gastownhall/beads.git,21900,1400,False,MIT,2026-04-20T21:09:48-07:00,6,0-30d,0,0,0,0,0,0,9,1,1,0,3,True,,
category4_surface_mentions/gastownhall__gastown,gastownhall__gastown,category4_surface_mentions,https://github.com/gastownhall/gastown.git,14700,1300,False,MIT,2026-04-19T18:01:48-07:00,7,0-30d,0,0,0,0,0,0,6,5,0,0,2,True,,
category4_surface_mentions/georgezouq__awesome-ai-in-finance,georgezouq__awesome-ai-in-finance,category4_surface_mentions,https://github.com/georgezouq/awesome-ai-in-finance.git,5800,673,False,CC0-1.0,2026-04-14T11:53:18+08:00,13,0-30d,0,0,0,0,0,0,0,0,0,0,0,False,,
category4_surface_mentions/getagentseal__codeburn,getagentseal__codeburn,category4_surface_mentions,https://github.com/getagentseal/codeburn.git,4200,319,False,MIT,2026-04-20T19:26:32-07:00,6,0-30d,0,0,0,0,0,0,0,0,0,0,0,False,,
category4_surface_mentions/getclawe__clawe,getclawe__clawe,category4_surface_mentions,https://github.com/getclawe/clawe.git,720,85,False,AGPL-3.0,2026-02-23T15:57:58+02:00,62,31-90d,0,0,0,0,0,0,11,2,0,0,2,True,,
category4_surface_mentions/giancarloerra__SocratiCode,giancarloerra__SocratiCode,category4_surface_mentions,https://github.com/giancarloerra/SocratiCode.git,1200,163,False,AGPL-3.0,2026-04-17T12:37:54+01:00,9,0-30d,0,0,0,0,0,0,10,2,3,2,4,True,,
category4_surface_mentions/git-ai-project__git-ai,git-ai-project__git-ai,category4_surface_mentions,https://github.com/git-ai-project/git-ai.git,1700,157,False,Apache-2.0,2026-04-20T17:43:39-04:00,6,0-30d,0,0,0,0,0,0,5,3,0,0,2,True,,
