repo_key,repo_name,repo_path,origin_url,github_owner,github_repo,html_metadata_ok,stars,forks,archived,license,last_commit_at,first_commit_at,commit_count,days_since_last_commit,repo_age_days,stale_bucket,recently_active_90d
category1_top_instruction_repos/microsoft__PowerToys,microsoft__PowerToys,../agent-instruction-corpus/clones/category1_top_instruction_repos/microsoft__PowerToys,https://github.com/microsoft/PowerToys.git,microsoft,PowerToys,True,132000,7900,False,MIT,2026-04-20T10:13:24-05:00,2026-04-20T10:13:24-05:00,1,6,6,0-30d,True
category1_top_instruction_repos/microsoft__TypeScript,microsoft__TypeScript,../agent-instruction-corpus/clones/category1_top_instruction_repos/microsoft__TypeScript,https://github.com/microsoft/TypeScript.git,microsoft,TypeScript,True,109000,13400,False,Apache-2.0,2026-04-17T18:09:16+00:00,2026-04-17T18:09:16+00:00,1,9,9,0-30d,True
category1_top_instruction_repos/microsoft__generative-ai-for-beginners,microsoft__generative-ai-for-beginners,../agent-instruction-corpus/clones/category1_top_instruction_repos/microsoft__generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners.git,microsoft,generative-ai-for-beginners,True,110000,59000,False,MIT,2026-04-20T16:40:44+01:00,2026-04-20T16:40:44+01:00,1,6,6,0-30d,True
category1_top_instruction_repos/microsoft__vscode,microsoft__vscode,../agent-instruction-corpus/clones/category1_top_instruction_repos/microsoft__vscode,https://github.com/microsoft/vscode.git,microsoft,vscode,True,184000,39500,False,MIT,2026-04-20T15:17:04+00:00,2026-04-20T15:17:04+00:00,1,6,6,0-30d,True
category1_top_instruction_repos/mui__material-ui,mui__material-ui,../agent-instruction-corpus/clones/category1_top_instruction_repos/mui__material-ui,https://github.com/mui/material-ui.git,mui,material-ui,True,98200,32700,False,MIT,2026-04-20T14:06:37+00:00,2026-04-20T14:06:37+00:00,1,6,6,0-30d,True
category1_top_instruction_repos/n8n-io__n8n,n8n-io__n8n,../agent-instruction-corpus/clones/category1_top_instruction_repos/n8n-io__n8n,https://github.com/n8n-io/n8n.git,n8n-io,n8n,True,186000,57200,False,License,2026-04-20T14:25:42+00:00,2026-04-20T14:25:42+00:00,1,6,6,0-30d,True
category1_top_instruction_repos/neovim__neovim,neovim__neovim,../agent-instruction-corpus/clones/category1_top_instruction_repos/neovim__neovim,https://github.com/neovim/neovim.git,neovim,neovim,True,99100,6800,False,License,2026-04-20T11:38:47-04:00,2026-04-20T11:38:47-04:00,1,6,6,0-30d,True
category1_top_instruction_repos/nodejs__node,nodejs__node,../agent-instruction-corpus/clones/category1_top_instruction_repos/nodejs__node,https://github.com/nodejs/node.git,nodejs,node,True,117000,35400,False,License,2026-04-20T14:49:41+00:00,2026-04-20T14:49:41+00:00,1,6,6,0-30d,True
category1_top_instruction_repos/obra__superpowers,obra__superpowers,../agent-instruction-corpus/clones/category1_top_instruction_repos/obra__superpowers,https://github.com/obra/superpowers.git,obra,superpowers,True,169000,14900,False,MIT,2026-04-16T12:50:46-07:00,2026-04-16T12:50:46-07:00,1,10,10,0-30d,True
category1_top_instruction_repos/openclaw__openclaw,openclaw__openclaw,../agent-instruction-corpus/clones/category1_top_instruction_repos/openclaw__openclaw,https://github.com/openclaw/openclaw.git,openclaw,openclaw,True,365000,74700,False,MIT,2026-04-20T16:29:48+01:00,2026-04-20T16:29:48+01:00,1,6,6,0-30d,True
