repo_key,repo_name,repo_path,origin_url,github_owner,github_repo,html_metadata_ok,stars,forks,archived,license,last_commit_at,first_commit_at,commit_count,days_since_last_commit,repo_age_days,stale_bucket,recently_active_90d
category1_top_instruction_repos/pytorch__pytorch,pytorch__pytorch,../agent-instruction-corpus/clones/category1_top_instruction_repos/pytorch__pytorch,https://github.com/pytorch/pytorch.git,pytorch,pytorch,True,99500,27600,False,License,2026-04-20T15:32:49+00:00,2026-04-20T15:32:49+00:00,1,6,6,0-30d,True
category1_top_instruction_repos/ripienaar__free-for-dev,ripienaar__free-for-dev,../agent-instruction-corpus/clones/category1_top_instruction_repos/ripienaar__free-for-dev,https://github.com/ripienaar/free-for-dev.git,ripienaar,free-for-dev,True,121000,12600,False,,2026-04-17T18:18:58+02:00,2026-04-17T18:18:58+02:00,1,9,9,0-30d,True
category1_top_instruction_repos/rust-lang__rust,rust-lang__rust,../agent-instruction-corpus/clones/category1_top_instruction_repos/rust-lang__rust,https://github.com/rust-lang/rust.git,rust-lang,rust,True,112000,14800,False,Apache-2.0,2026-04-20T09:29:42+00:00,2026-04-20T09:29:42+00:00,1,6,6,0-30d,True
category1_top_instruction_repos/rustdesk__rustdesk,rustdesk__rustdesk,../agent-instruction-corpus/clones/category1_top_instruction_repos/rustdesk__rustdesk,https://github.com/rustdesk/rustdesk.git,rustdesk,rustdesk,True,113000,16900,False,AGPL-3.0,2026-04-20T10:05:32+08:00,2026-04-20T10:05:32+08:00,1,7,7,0-30d,True
category1_top_instruction_repos/shadcn-ui__ui,shadcn-ui__ui,../agent-instruction-corpus/clones/category1_top_instruction_repos/shadcn-ui__ui,https://github.com/shadcn-ui/ui.git,shadcn-ui,ui,True,113000,8700,False,MIT,2026-04-20T12:37:59+04:00,2026-04-20T12:37:59+04:00,1,7,7,0-30d,True
category1_top_instruction_repos/supabase__supabase,supabase__supabase,../agent-instruction-corpus/clones/category1_top_instruction_repos/supabase__supabase,https://github.com/supabase/supabase.git,supabase,supabase,True,101000,12200,False,Apache-2.0,2026-04-20T11:34:00-04:00,2026-04-20T11:34:00-04:00,1,6,6,0-30d,True
category1_top_instruction_repos/tensorflow__tensorflow,tensorflow__tensorflow,../agent-instruction-corpus/clones/category1_top_instruction_repos/tensorflow__tensorflow,https://github.com/tensorflow/tensorflow.git,tensorflow,tensorflow,True,195000,75300,False,Apache-2.0,2026-04-20T07:11:58-07:00,2026-04-20T07:11:58-07:00,1,6,6,0-30d,True
category1_top_instruction_repos/ultraworkers__claw-code,ultraworkers__claw-code,../agent-instruction-corpus/clones/category1_top_instruction_repos/ultraworkers__claw-code,https://github.com/ultraworkers/claw-code.git,ultraworkers,claw-code,True,189000,109000,False,,2026-04-20T21:32:02+09:00,2026-04-20T21:32:02+09:00,1,6,6,0-30d,True
category1_top_instruction_repos/vercel__next.js,vercel__next.js,../agent-instruction-corpus/clones/category1_top_instruction_repos/vercel__next.js,https://github.com/vercel/next.js.git,vercel,next.js,True,139000,31000,False,MIT,2026-04-20T14:54:37+02:00,2026-04-20T14:54:37+02:00,1,6,6,0-30d,True
category1_top_instruction_repos/vinta__awesome-python,vinta__awesome-python,../agent-instruction-corpus/clones/category1_top_instruction_repos/vinta__awesome-python,https://github.com/vinta/awesome-python.git,vinta,awesome-python,True,295000,27800,False,License,2026-04-20T23:29:45+08:00,2026-04-20T23:29:45+08:00,1,6,6,0-30d,True
