repo_key,category,repo_slug,repo_name,origin_url,github_owner,github_repo
category1_top_instruction_repos/yangshun__tech-interview-handbook,category1_top_instruction_repos,yangshun__tech-interview-handbook,yangshun__tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook.git,yangshun,tech-interview-handbook
category2_agent_tooling/Aider-AI__aider,category2_agent_tooling,Aider-AI__aider,Aider-AI__aider,https://github.com/Aider-AI/aider.git,Aider-AI,aider
category2_agent_tooling/BerriAI__litellm,category2_agent_tooling,BerriAI__litellm,BerriAI__litellm,https://github.com/BerriAI/litellm.git,BerriAI,litellm
category2_agent_tooling/OpenBMB__AgentVerse,category2_agent_tooling,OpenBMB__AgentVerse,OpenBMB__AgentVerse,https://github.com/OpenBMB/AgentVerse.git,OpenBMB,AgentVerse
category2_agent_tooling/OpenHands__OpenHands,category2_agent_tooling,OpenHands__OpenHands,OpenHands__OpenHands,https://github.com/OpenHands/OpenHands.git,OpenHands,OpenHands
category2_agent_tooling/Significant-Gravitas__AutoGPT,category2_agent_tooling,Significant-Gravitas__AutoGPT,Significant-Gravitas__AutoGPT,https://github.com/Significant-Gravitas/AutoGPT.git,Significant-Gravitas,AutoGPT
category2_agent_tooling/aaif-goose__goose,category2_agent_tooling,aaif-goose__goose,aaif-goose__goose,https://github.com/aaif-goose/goose.git,aaif-goose,goose
category2_agent_tooling/ag2ai__ag2,category2_agent_tooling,ag2ai__ag2,ag2ai__ag2,https://github.com/ag2ai/ag2.git,ag2ai,ag2
category2_agent_tooling/anomalyco__opencode,category2_agent_tooling,anomalyco__opencode,anomalyco__opencode,https://github.com/anomalyco/opencode.git,anomalyco,opencode
category2_agent_tooling/anthropics__claude-code,category2_agent_tooling,anthropics__claude-code,anthropics__claude-code,https://github.com/anthropics/claude-code.git,anthropics,claude-code
category2_agent_tooling/browser-use__browser-use,category2_agent_tooling,browser-use__browser-use,browser-use__browser-use,https://github.com/browser-use/browser-use.git,browser-use,browser-use
category2_agent_tooling/camel-ai__camel,category2_agent_tooling,camel-ai__camel,camel-ai__camel,https://github.com/camel-ai/camel.git,camel-ai,camel
category2_agent_tooling/continuedev__continue,category2_agent_tooling,continuedev__continue,continuedev__continue,https://github.com/continuedev/continue.git,continuedev,continue
category2_agent_tooling/crewAIInc__crewAI,category2_agent_tooling,crewAIInc__crewAI,crewAIInc__crewAI,https://github.com/crewAIInc/crewAI.git,crewAIInc,crewAI
category2_agent_tooling/huggingface__smolagents,category2_agent_tooling,huggingface__smolagents,huggingface__smolagents,https://github.com/huggingface/smolagents.git,huggingface,smolagents
category2_agent_tooling/langchain-ai__langchain,category2_agent_tooling,langchain-ai__langchain,langchain-ai__langchain,https://github.com/langchain-ai/langchain.git,langchain-ai,langchain
category2_agent_tooling/langchain-ai__langgraph,category2_agent_tooling,langchain-ai__langgraph,langchain-ai__langgraph,https://github.com/langchain-ai/langgraph.git,langchain-ai,langgraph
category2_agent_tooling/lastmile-ai__mcp-agent,category2_agent_tooling,lastmile-ai__mcp-agent,lastmile-ai__mcp-agent,https://github.com/lastmile-ai/mcp-agent.git,lastmile-ai,mcp-agent
category2_agent_tooling/mem0ai__mem0,category2_agent_tooling,mem0ai__mem0,mem0ai__mem0,https://github.com/mem0ai/mem0.git,mem0ai,mem0
category2_agent_tooling/microsoft__TaskWeaver,category2_agent_tooling,microsoft__TaskWeaver,microsoft__TaskWeaver,https://github.com/microsoft/TaskWeaver.git,microsoft,TaskWeaver
category2_agent_tooling/microsoft__autogen,category2_agent_tooling,microsoft__autogen,microsoft__autogen,https://github.com/microsoft/autogen.git,microsoft,autogen
category2_agent_tooling/modelcontextprotocol__python-sdk,category2_agent_tooling,modelcontextprotocol__python-sdk,modelcontextprotocol__python-sdk,https://github.com/modelcontextprotocol/python-sdk.git,modelcontextprotocol,python-sdk
category2_agent_tooling/modelcontextprotocol__servers,category2_agent_tooling,modelcontextprotocol__servers,modelcontextprotocol__servers,https://github.com/modelcontextprotocol/servers.git,modelcontextprotocol,servers
category2_agent_tooling/modelcontextprotocol__typescript-sdk,category2_agent_tooling,modelcontextprotocol__typescript-sdk,modelcontextprotocol__typescript-sdk,https://github.com/modelcontextprotocol/typescript-sdk.git,modelcontextprotocol,typescript-sdk
category2_agent_tooling/openai__codex,category2_agent_tooling,openai__codex,openai__codex,https://github.com/openai/codex.git,openai,codex
category2_agent_tooling/run-llama__llama_index,category2_agent_tooling,run-llama__llama_index,run-llama__llama_index,https://github.com/run-llama/llama_index.git,run-llama,llama_index
category3_custom_agents_instructions_skills/Code-and-Sorts__awesome-copilot-agents,category3_custom_agents_instructions_skills,Code-and-Sorts__awesome-copilot-agents,Code-and-Sorts__awesome-copilot-agents,https://github.com/Code-and-Sorts/awesome-copilot-agents.git,Code-and-Sorts,awesome-copilot-agents
category3_custom_agents_instructions_skills/ComposioHQ__awesome-claude-skills,category3_custom_agents_instructions_skills,ComposioHQ__awesome-claude-skills,ComposioHQ__awesome-claude-skills,https://github.com/ComposioHQ/awesome-claude-skills.git,ComposioHQ,awesome-claude-skills
category3_custom_agents_instructions_skills/GetBindu__awesome-claude-code-and-skills,category3_custom_agents_instructions_skills,GetBindu__awesome-claude-code-and-skills,GetBindu__awesome-claude-code-and-skills,https://github.com/GetBindu/awesome-claude-code-and-skills.git,GetBindu,awesome-claude-code-and-skills
category3_custom_agents_instructions_skills/NousResearch__hermes-agent,category3_custom_agents_instructions_skills,NousResearch__hermes-agent,NousResearch__hermes-agent,https://github.com/NousResearch/hermes-agent.git,NousResearch,hermes-agent
category3_custom_agents_instructions_skills/Shubhamsaboo__awesome-llm-apps,category3_custom_agents_instructions_skills,Shubhamsaboo__awesome-llm-apps,Shubhamsaboo__awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps.git,Shubhamsaboo,awesome-llm-apps
category3_custom_agents_instructions_skills/VoltAgent__awesome-agent-skills,category3_custom_agents_instructions_skills,VoltAgent__awesome-agent-skills,VoltAgent__awesome-agent-skills,https://github.com/VoltAgent/awesome-agent-skills.git,VoltAgent,awesome-agent-skills
category3_custom_agents_instructions_skills/VoltAgent__voltagent,category3_custom_agents_instructions_skills,VoltAgent__voltagent,VoltAgent__voltagent,https://github.com/VoltAgent/voltagent.git,VoltAgent,voltagent
category3_custom_agents_instructions_skills/affaan-m__everything-claude-code,category3_custom_agents_instructions_skills,affaan-m__everything-claude-code,affaan-m__everything-claude-code,https://github.com/affaan-m/everything-claude-code.git,affaan-m,everything-claude-code
category3_custom_agents_instructions_skills/anthropics__skills,category3_custom_agents_instructions_skills,anthropics__skills,anthropics__skills,https://github.com/anthropics/skills.git,anthropics,skills
category3_custom_agents_instructions_skills/awesome-chatgpt-prompts__awesome-chatgpt-prompts-github,category3_custom_agents_instructions_skills,awesome-chatgpt-prompts__awesome-chatgpt-prompts-github,awesome-chatgpt-prompts__awesome-chatgpt-prompts-github,https://github.com/awesome-chatgpt-prompts/awesome-chatgpt-prompts-github.git,awesome-chatgpt-prompts,awesome-chatgpt-prompts-github
category3_custom_agents_instructions_skills/f__prompts.chat,category3_custom_agents_instructions_skills,f__prompts.chat,f__prompts.chat,https://github.com/f/prompts.chat.git,f,prompts.chat
category3_custom_agents_instructions_skills/github__awesome-copilot,category3_custom_agents_instructions_skills,github__awesome-copilot,github__awesome-copilot,https://github.com/github/awesome-copilot.git,github,awesome-copilot
category3_custom_agents_instructions_skills/github__spec-kit,category3_custom_agents_instructions_skills,github__spec-kit,github__spec-kit,https://github.com/github/spec-kit.git,github,spec-kit
